,Key,Function
769,2812,decribing people and places
772,2809,disagreeing
773,2809,shopping
774,2808,telephone
775,2808,making a phone call
776,2808,making an appointment
777,QW0414,synonyms
781,2804,expressing opinions
782,2804,expressing excitement
784,2802,asking questions
785,2801,greetings
787,2800,complaining
788,2799,describing likes and dislikes
789,2798,describing problems
790,2797,explaining
791,2796,to affirm
792,2796,describing shock
793,2795,discussing
794,2795,expressing surprise
795,2795,social commentary
797,2793,expressing opinions
799,2791,asking questions
802,2789,selling
804,2787,giving advice
806,2786,expressing awe
807,2786,expressing excitement
808,2785,persuading
809,2785,convincing
810,2784,adjectives
811,2784,Intensifier
813,2782,small talk
814,2782,explaining problems
815,2781,asking questions
816,2780,asking for directions
817,2780,suggesting
818,QW0410,describing
819,2779,small talk
821,2777,debating
822,2777,expressing dissatisfaction
824,2776,flattery
825,2775,making statements
826,2775,giving presentations
827,2774,asking permission
828,2774,expressing discontent
829,2773,expressing dislike
830,2773,indifference
831,QW0408,extremes
832,2772,expressing opinions
833,2771,debating
834,2771,expressing opinions
835,2771,describing likes and dislikes
836,2770,comparing
837,2770,describing actions
838,2769,expressing opinions
839,2769,choosing
841,2768,socialising
842,2768,expressing frustration
843,2768,expressing friendship
844,2767,expressing disbelief
845,2767,calming others
846,2766,giving advice
847,2765,encouraging
848,2765,asking questions
849,2764,discussing
850,2764,explaining
851,2764,explaining_views
852,2763,requesting
853,2762,requesting
854,2762,buying tickets
855,2761,describing shock
856,2761,describing likes and dislikes
858,2760,discussing
859,2760,persuading
860,2759,giving instructions
861,2758,debating
862,2757,inviting
864,2756,formal
865,2755,describing feelings
866,2754,asking questions
867,2753,offering help
868,2753,explaining problems
869,2752,describing problems
870,2752,debating
871,2751,arguing
873,2749,comparing
874,2748,offering
875,2748,declining
876,QW0403,classifying
877,2747,arguing
878,2747,making threats
879,2746,describing
880,2746,explaining
882,2744,arguing
883,QW0402,giving examples
886,2741,opinion
887,2740,expressing_frustration
888,QW401,comparing
890,2738,arguing
891,2737,arguing
892,2736,expressing experience
893,QW0400,introductions
894,QW0400,greetings
897,2733,telephone
899,QW0399,introductions
900,QW0399,introducing
902,2730,expressing disagreement
904,2728,giving advice
907,2726,asking for help
908,2725,giving advice
909,2725,comforting
910,2724,invitation
912,2723,arguing
913,2722,complaining
914,2721,arguing
915,2720,complaining
917,2719,formal
918,2719,interviewing
919,2719,asking questions
920,2719,business culture
921,2719,offering
922,2718,asking for help
923,2718,buying tickets
924,2718,explaining problems
926,2716,asking questions
927,2716,expressing surprise
928,2716,giving instructions
934,2710,describing people
935,2709,asking for help
936,2709,giving instructions
937,2708,complaining
939,QW0394,time
942,2704,shopping
943,2704,comparing
946,2702,complaining
947,2702,arguing
955,2695,asking price
957,2694,asking for a reason
960,2691,ordering food
965,2687,ordering food
966,2686,negotiating
967,2686,asking for help
970,2683,suggesting
971,2683,inviting
974,2681,debating
975,2680,comparing
976,2680,debating
977,2680,business culture
978,2679,complaining
979,QW0388,expressing anger
980,2678,describing
981,2678,greetings
982,2678,analyzing
983,2678,answering questions
984,2678,asking questions
985,2678,dealing with praise
986,2678,expressing pride
988,2676,refusing
989,2676,suggesting
990,2676,socialising
991,2676,being polite
992,2675,directions
993,2675,giving instructions
994,2675,arguing
996,2673,expressing excitement
997,2673,expressing pleasure
998,2673,asking questions
999,2672,instructions
1001,2670,asking questions
1002,2669,arguing
1004,2667,anger and annoyance
1006,2665,expressing excitement
1007,2665,telling jokes
1008,2665,small talk
1009,2665,idioms
1010,2664,giving advice
1011,2664,comforting
1013,2662,asking for help
1016,2660,disagreeing
1017,2660,expressing opinions
1018,2659,telephone
1019,2659,formal
1020,2658,buying tickets
1021,2657,describing people
1024,2654,giving reasons
1025,2653,making an appointment
1026,2652,question
1027,2652,asking questions
1031,2649,buying
1032,2649,comparing
1037,2645,asking questions
1041,2641,telephone
1042,2641,calling people
1043,2640,discussing
1044,2639,liking and disliking
1051,2633,advice
1052,2633,opinion
1055,2630,giving instructions
1059,2626,instructions
1060,2626,advice
1062,2624,comparing
1063,2623,discussing
1065,2616,giving advice
1069,2617,asking questions
1071,2611,asking questions
1072,2614,debating
1073,2614,idioms
1074,2614,chengyu
1075,2613,disagreeing
1076,2613,discussing
1077,2613,complaining
1078,2612,arguing
1079,2612,disagreeing
1080,2610,expressing dissatisfaction
1081,2609,asking questions
1082,2609,describing
1083,2608,asking permission
1084,2608,giving advice
1085,2608,being polite
1087,2607,asking for help
1088,2606,expressing surprise
1089,2606,expressing feeling
1090,2606,wishing
1091,2606,telling a story
1092,2605,describing people
1093,2605,suggesting
1094,2604,introducing
1095,2604,discussing
1097,2602,teaching
1098,2602,studying
1099,2602,suggesting
1100,2601,expressing opinions
1101,2601,asking questions
1102,QW0382,asking questions
1103,2600,suggesting
1104,2600,expressing_disagreement
1105,2600,expressing opinions
1106,2599,expressing opinions
1107,2599,expressing confusion
1108,2598,asking permission
1109,2598,refusing
1110,2597,introductions
1111,2597,expressing experience
1112,2597,asking questions
1113,2597,demonstrating
1114,2596,asking for directions
1115,2596,choosing
1116,2596,suggesting
1117,2595,describing problems
1118,2595,introductions
1120,2594,asking questions
1121,2593,correcting
1122,2593,explaining
1123,2593,asking questions
1125,2592,expressing feeling
1126,2592,comparing
1127,2592,complaining
1128,2591,expressing opinions
1129,2591,expressing feeling
1130,2590,introducing
1131,2590,answering questions
1133,2589,asking questions
1134,2589,explaining
1135,2588,asking questions
1136,2588,helping
1137,2587,farewells
1138,2587,giving advice
1139,2586,expressing purpose
1140,2586,making plans
1141,2585,asking for help
1142,2585,giving reasons
1145,2583,expressing displeasure
1146,2583,answering questions
1147,2582,explaining
1148,2582,asking questions
1149,2582,business culture
1150,2581,describing
1151,2581,to expect
1152,2581,wishing
1153,2580,expressing degree
1154,2580,asking for help
1156,2579,blaming
1157,2579,explaining
1158,2578,asking for help
1159,2578,asking price
1160,2577,expressing excitement
1161,2577,describing places
1162,2576,describing
1163,2575,explaining
1164,2575,describing
1166,2574,asking for help
1167,2574,giving advice
1168,2574,ordering food
1169,2573,asking questions
1170,2573,asking for help
1171,2573,expressing experience
1172,2572,expressing opinions
1173,2572,describing places
1174,2570,helping
1175,2570,describing actions
1176,2569,describing problems
1177,2569,expressing opinions
1178,2569,giving examples
1179,2568,asking for help
1180,2568,suggesting
1181,2567,expressing opinions
1182,2567,expressing concern
1183,2566,introductions
1184,2566,expressing pain
1185,2566,expressing opinions
1186,2565,answering questions
1187,2565,asking questions
1189,2564,addition and conclusion
1190,2564,asking questions
1191,2563,addition and conclusion
1192,2563,describing problems
1193,2563,expressing opinions
1194,2562,discussing
1195,2562,explaining
1196,2561,denying
1197,2560,inviting
1198,2560,asking price
1200,2559,expressing fear
1201,2559,expressing concern
1202,2558,expressing opinions
1203,2557,asking permission
1204,2557,expressing disagreement
1205,2557,expressing opinions
1206,2556,asking for help
1207,2555,asking for a reason
1208,2555,expressing opinions
1209,2554,explaining problems
1210,2554,expressing disappointment
1211,2553,expressing feeling
1212,2553,expressing opinions
1213,2553,explaining problems
1214,2552,describing
1215,2552,expressing confusion
1216,2552,explaining
1217,2550,expressing concern
1218,2550,explaining
1220,2549,informing
1221,2549,investigating
1222,2549,asking questions
1223,2548,asking questions
1224,2548,describing places
1225,2547,asking for directions
1226,2547,assigning tasks
1227,2546,discussing
1228,2546,describing people
1229,2545,suggesting
1230,2545,worrying
1231,QW0371,addition and conclusion
1232,QW0371,comparing
1233,2544,suggesting
1234,2544,describing problems
1235,2544,dealing with
1236,2543,asking questions
